종가,저가,고가,시가,MA5,WMA,PER,foreign_보유수량,MA20
44850,44550,45000,44800,44240.0,43929.09090909091,6.94,3408334043,43010.0
44600,44300,45050,44800,44470.0,44140.0,6.9,3408906488,43107.5
43750,43400,44400,44200,44440.0,44159.09090909091,6.77,3408769906,43167.5
44000,43300,44150,43750,44400.0,44188.181818181816,6.81,3408518953,43290.0
43900,43400,44050,43750,44220.0,44172.72727272727,6.79,3409078526,43425.0
44350,43650,44500,43750,44120.0,44213.63636363636,6.86,3407966421,43542.5
45350,45000,45450,45450,44270.0,44426.36363636364,7.02,3408463772,43652.5
45500,44850,45500,44850,44620.0,44631.81818181818,7.04,3411420144,43752.5
45700,45200,45800,45750,44960.0,44844.545454545456,7.07,3411437620,43845.0
45500,45200,45800,45200,45280.0,44993.63636363636,7.04,3412134954,43985.0
45600,45200,45800,45200,45530.0,45148.181818181816,7.06,3411048165,44132.5
45700,45600,46000,45800,45600.0,45307.27272727273,7.07,3411521385,44290.0
46500,45750,46600,46000,45800.0,45591.81818181818,7.2,3409402213,44525.0
47000,46700,47000,47000,46060.0,45917.27272727273,7.27,3411981118,44747.5
46600,46250,47400,47350,46280.0,46115.454545454544,7.21,3419029386,44952.5
46250,45850,46900,46200,46410.0,46200.90909090909,7.16,3421415858,45075.0
45400,45200,46350,45750,46350.0,46097.27272727273,7.03,3423634907,45172.5
46000,45250,46200,45250,46250.0,46101.81818181818,7.12,3424503636,45277.5
45650,45250,45950,45950,45980.0,46033.63636363636,7.07,3425388288,45350.0
44400,44350,44800,44750,45540.0,45739.09090909091,6.87,3425422572,45330.0
45100,44700,45450,44850,45310.0,45591.81818181818,6.98,3426012722,45342.5
45550,45500,46150,45550,45340.0,45535.454545454544,7.05,3428339536,45390.0
46200,46150,46550,46350,45380.0,45600.0,7.15,3435184069,45512.5
46300,45800,46400,46350,45510.0,45688.181818181816,7.17,3439134167,45627.5
46450,45750,46650,45950,45920.0,45816.36363636364,7.19,3441319933,45755.0
46850,46300,46850,46450,46270.0,46020.0,7.25,3442425070,45880.0
46050,45950,46350,46150,46370.0,46067.27272727273,7.13,3444523535,45915.0
46100,45650,46450,46450,46350.0,46111.81818181818,7.14,3445022864,45945.0
46800,46600,46950,46650,46450.0,46281.81818181818,7.24,3445956672,46000.0
47200,46600,47300,46800,46600.0,46503.63636363636,7.31,3446664156,46085.0
47300,47050,47550,47350,46690.0,46692.72727272727,7.32,3450598786,46170.0
46400,46250,47150,47100,46760.0,46678.181818181816,7.18,3451967138,46205.0
47200,46600,47200,47150,46980.0,46793.63636363636,7.31,3452755207,46240.0
47150,46550,47150,46650,47050.0,46881.81818181818,7.3,3455269822,46247.5
46100,46000,47050,46800,46830.0,46763.63636363636,7.14,3456483700,46222.5
46550,46300,46850,46300,46680.0,46733.63636363636,7.2,3462021569,46237.5
45350,45000,46600,46200,46470.0,46490.90909090909,7.02,3462996814,46235.0
45200,44850,45500,44900,46070.0,46233.63636363636,7.0,3461694732,46195.0
44950,44300,45500,44550,45630.0,45947.27272727273,6.96,3453540100,46160.0
43950,43600,44600,44350,45200.0,45512.72727272727,6.8,3451445300,46137.5
43500,42500,43800,42500,44590.0,45055.454545454544,6.73,3448050226,46057.5
43200,43100,43900,43600,44160.0,44612.72727272727,6.69,3442958090,45940.0
42650,42650,43500,43250,43650.0,44128.181818181816,6.6,3441528988,45762.5
43150,43050,43350,43250,43290.0,43817.27272727273,6.68,3439417620,45605.0
43700,43550,44000,44000,43240.0,43679.09090909091,6.76,3438760843,45467.5
43000,42950,43500,43500,43140.0,43457.27272727273,6.66,3438419775,45275.0
43700,43500,44250,43900,43240.0,43427.27272727273,6.76,3435348517,45157.5
43900,43300,43900,43800,43490.0,43463.63636363636,6.79,3436379938,45047.5
43600,43500,44350,44350,43580.0,43469.09090909091,6.75,3436000880,44887.5
44450,43550,44600,43950,43730.0,43653.63636363636,6.88,3433651503,44750.0
44500,44150,44800,44350,44030.0,43838.181818181816,6.89,3433402846,44610.0
44050,43850,44700,44500,44100.0,43922.72727272727,6.82,3432663035,44492.5
43950,43650,44200,43800,44110.0,43973.63636363636,6.8,3432518304,44330.0
43600,42950,43800,43050,44110.0,43937.27272727273,6.75,3432186660,44152.5
44050,43600,44200,43650,44030.0,43974.545454545456,6.82,3432179498,44050.0
44150,43750,44400,44100,43960.0,44023.63636363636,6.83,3430931255,43930.0
43400,43050,44200,44200,43830.0,43915.454545454544,6.72,3431073303,43832.5
44000,43750,44300,43750,43840.0,43921.81818181818,6.81,3428751208,43772.5
43800,43650,44850,44850,43880.0,43890.0,6.78,3426651811,43715.0
43250,43100,43650,43550,43720.0,43754.545454545456,6.69,3426723282,43680.0
44100,43150,44100,43250,43710.0,43795.454545454544,6.83,3422269559,43710.0
45700,44450,46100,44800,44170.0,44134.545454545456,7.07,3418938567,43835.0
46300,45850,46500,46500,44630.0,44552.72727272727,7.17,3420701695,44017.5
46900,46300,47000,46450,45250.0,45037.27272727273,7.26,3422245966,44205.0
47000,46550,47200,47100,46000.0,45480.0,7.27,3424831166,44370.0
47150,46800,47400,47300,46610.0,45896.36363636364,7.3,3426066934,44577.5
47100,46400,47100,47000,46890.0,46249.09090909091,7.29,3425302880,44747.5
46900,46800,47100,47000,47010.0,46498.181818181816,7.26,3423978972,44897.5
47700,46800,47700,46900,47170.0,46840.0,7.38,3424378628,45102.5
49150,47850,49200,48050,47600.0,47374.545454545456,7.61,3426615181,45337.5
49200,49100,49600,49400,48010.0,47810.90909090909,7.61,3431557943,45572.5
49300,49000,49300,49250,48450.0,48172.72727272727,7.63,3432040138,45835.0
49500,48850,49650,49050,48970.0,48505.454545454544,7.66,3432821185,46112.5
48900,48800,49350,49200,49210.0,48670.90909090909,7.57,3430976653,46377.5
49200,48900,49250,49000,49220.0,48854.545454545456,7.61,3430140389,46635.0
48400,48000,48700,48000,49060.0,48852.72727272727,7.49,3428244132,46847.5
49050,47900,49250,48050,49010.0,48946.36363636364,7.59,3427169304,47130.0
48850,48650,49100,48900,48880.0,48968.181818181816,7.56,3427577576,47372.5
47600,47600,48400,48350,48620.0,48727.27272727273,7.37,3426076371,47562.5
