종가,WMA,MA5,PER,foreign_보유수량,RSI,MOM,MA20
43900,44172.72727,44220,6.79,3409078526,51.01787926,1400,43425
44350,44213.63636,44120,6.86,3407966421,54.49579998,550,43542.5
45350,44426.36364,44270,7.02,3408463772,61.10498885,1900,43652.5
45500,44631.81818,44620,7.04,3411420144,61.99663929,1600,43752.5
45700,44844.54545,44960,7.07,3411437620,63.20774095,1500,43845
45500,44993.63636,45280,7.04,3412134954,61.11044963,700,43985
45600,45148.18182,45530,7.06,3411048165,61.79307939,750,44132.5
45700,45307.27273,45600,7.07,3411521385,62.50191586,1100,44290
46500,45591.81818,45800,7.2,3409402213,67.66953644,2750,44525
47000,45917.27273,46060,7.27,3411981118,70.41385558,3000,44747.5
46600,46115.45455,46280,7.21,3419029386,65.61538296,2700,44952.5
46250,46200.90909,46410,7.16,3421415858,61.65612449,1900,45075
45400,46097.27273,46350,7.03,3423634907,53.25221396,50,45172.5
46000,46101.81818,46250,7.12,3424503636,57.64121515,500,45277.5
45650,46033.63636,45980,7.07,3425388288,54.43087225,-50,45350
44400,45739.09091,45540,6.87,3425422572,44.8281246,-1100,45330
45100,45591.81818,45310,6.98,3426012722,50.13367336,-500,45342.5
45550,45535.45455,45340,7.05,3428339536,53.24630454,-150,45390
46200,45600,45380,7.15,3435184069,57.38417347,-300,45512.5
46300,45688.18182,45510,7.17,3439134167,58.00003215,-700,45627.5
46450,45816.36364,45920,7.19,3441319933,58.95813727,-150,45755
46850,46020,46270,7.25,3442425070,61.48153981,600,45880
46050,46067.27273,46370,7.13,3444523535,54.29186991,650,45915
46100,46111.81818,46350,7.14,3445022864,54.64882817,100,45945
46800,46281.81818,46450,7.24,3445956672,59.42613438,1150,46000
47200,46503.63636,46600,7.31,3446664156,61.89620534,2800,46085
47300,46692.72727,46690,7.32,3450598786,62.51066792,2200,46170
46400,46678.18182,46760,7.18,3451967138,54.06101958,850,46205
47200,46793.63636,46980,7.31,3452755207,59.3242483,1000,46240
47150,46881.81818,47050,7.3,3455269822,58.87027361,850,46247.5
46100,46763.63636,46830,7.14,3456483700,50.18510562,-350,46222.5
46550,46733.63636,46680,7.2,3462021569,53.36081683,-300,46237.5
45350,46490.90909,46470,7.02,3462996814,45.10339554,-700,46235
