³¯Â¥,BPS,PER,PBR,EPS,DIV,DPS
2019-11-07,62805,119.43,6.44,3387,0.0,0
2019-11-08,62805,115.15,6.21,3387,0.0,0
2019-11-11,62805,117.95,6.36,3387,0.0,0
2019-11-12,62805,117.51,6.34,3387,0.0,0
2019-11-13,62805,115.0,6.2,3387,0.0,0
2019-11-14,62805,116.77,6.3,3387,0.0,0
2019-11-15,62805,117.51,6.34,3387,0.0,0
2019-11-18,62805,118.69,6.4,3387,0.0,0
2019-11-19,62805,117.8,6.35,3387,0.0,0
2019-11-20,62805,117.95,6.36,3387,0.0,0
2019-11-21,62805,115.44,6.23,3387,0.0,0
2019-11-22,62805,113.67,6.13,3387,0.0,0
2019-11-25,62805,115.44,6.23,3387,0.0,0
2019-11-26,62805,114.85,6.19,3387,0.0,0
2019-11-27,62805,117.21,6.32,3387,0.0,0
2019-11-28,62805,117.8,6.35,3387,0.0,0
2019-11-29,62805,116.18,6.27,3387,0.0,0
2019-12-02,62805,115.15,6.21,3387,0.0,0
2019-12-03,62805,116.33,6.27,3387,0.0,0
2019-12-04,62805,115.59,6.23,3387,0.0,0
2019-12-05,62805,116.92,6.31,3387,0.0,0
2019-12-06,62805,116.62,6.29,3387,0.0,0
2019-12-09,62805,114.56,6.18,3387,0.0,0
2019-12-10,62805,115.15,6.21,3387,0.0,0
2019-12-11,62805,114.85,6.19,3387,0.0,0
2019-12-12,62805,115.15,6.21,3387,0.0,0
2019-12-13,62805,116.92,6.31,3387,0.0,0
2019-12-16,62805,116.62,6.29,3387,0.0,0
2019-12-17,62805,116.62,6.29,3387,0.0,0
2019-12-18,62805,116.47,6.28,3387,0.0,0
2019-12-19,62805,116.77,6.3,3387,0.0,0
2019-12-20,62805,117.07,6.31,3387,0.0,0
2019-12-23,62805,124.74,6.73,3387,0.0,0
2019-12-24,62805,123.12,6.64,3387,0.0,0
2019-12-26,62805,122.08,6.58,3387,0.0,0
2019-12-27,62805,126.81,6.84,3387,0.0,0
2019-12-30,62805,127.84,6.89,3387,0.0,0
2020-01-02,62805,126.51,6.82,3387,0.0,0
2020-01-03,62805,124.59,6.72,3387,0.0,0
2020-01-06,62805,121.64,6.56,3387,0.0,0
2020-01-07,62805,123.71,6.67,3387,0.0,0
2020-01-08,62805,120.61,6.5,3387,0.0,0
2020-01-09,62805,124.0,6.69,3387,0.0,0
2020-01-10,62805,128.88,6.95,3387,0.0,0
