종가,시가,고가,저가,WMA,PER,MA5,MA20,foreign_보유수량,업종
44850,44800,45000,44550,43929.09091,6.94,44240,43010,3408334043,IT
44600,44800,45050,44300,44140,6.9,44470,43107.5,3408906488,IT
43750,44200,44400,43400,44159.09091,6.77,44440,43167.5,3408769906,IT
44000,43750,44150,43300,44188.18182,6.81,44400,43290,3408518953,IT
43900,43750,44050,43400,44172.72727,6.79,44220,43425,3409078526,IT
44350,43750,44500,43650,44213.63636,6.86,44120,43542.5,3407966421,IT
45350,45450,45450,45000,44426.36364,7.02,44270,43652.5,3408463772,IT
45500,44850,45500,44850,44631.81818,7.04,44620,43752.5,3411420144,IT
45700,45750,45800,45200,44844.54545,7.07,44960,43845,3411437620,IT
45500,45200,45800,45200,44993.63636,7.04,45280,43985,3412134954,IT
45600,45200,45800,45200,45148.18182,7.06,45530,44132.5,3411048165,IT
45700,45800,46000,45600,45307.27273,7.07,45600,44290,3411521385,IT
46500,46000,46600,45750,45591.81818,7.2,45800,44525,3409402213,IT
47000,47000,47000,46700,45917.27273,7.27,46060,44747.5,3411981118,IT
46600,47350,47400,46250,46115.45455,7.21,46280,44952.5,3419029386,IT
46250,46200,46900,45850,46200.90909,7.16,46410,45075,3421415858,IT
45400,45750,46350,45200,46097.27273,7.03,46350,45172.5,3423634907,IT
46000,45250,46200,45250,46101.81818,7.12,46250,45277.5,3424503636,IT
45650,45950,45950,45250,46033.63636,7.07,45980,45350,3425388288,IT
44400,44750,44800,44350,45739.09091,6.87,45540,45330,3425422572,IT
45100,44850,45450,44700,45591.81818,6.98,45310,45342.5,3426012722,IT
45550,45550,46150,45500,45535.45455,7.05,45340,45390,3428339536,IT
46200,46350,46550,46150,45600,7.15,45380,45512.5,3435184069,IT
46300,46350,46400,45800,45688.18182,7.17,45510,45627.5,3439134167,IT
46450,45950,46650,45750,45816.36364,7.19,45920,45755,3441319933,IT
46850,46450,46850,46300,46020,7.25,46270,45880,3442425070,IT
46050,46150,46350,45950,46067.27273,7.13,46370,45915,3444523535,IT
46100,46450,46450,45650,46111.81818,7.14,46350,45945,3445022864,IT
46800,46650,46950,46600,46281.81818,7.24,46450,46000,3445956672,IT
47200,46800,47300,46600,46503.63636,7.31,46600,46085,3446664156,IT
47300,47350,47550,47050,46692.72727,7.32,46690,46170,3450598786,IT
46400,47100,47150,46250,46678.18182,7.18,46760,46205,3451967138,IT
47200,47150,47200,46600,46793.63636,7.31,46980,46240,3452755207,IT
47150,46650,47150,46550,46881.81818,7.3,47050,46247.5,3455269822,IT
46100,46800,47050,46000,46763.63636,7.14,46830,46222.5,3456483700,IT
46550,46300,46850,46300,46733.63636,7.2,46680,46237.5,3462021569,IT
45350,46200,46600,45000,46490.90909,7.02,46470,46235,3462996814,IT
45200,44900,45500,44850,46233.63636,7,46070,46195,3461694732,IT
44950,44550,45500,44300,45947.27273,6.96,45630,46160,3453540100,IT
43950,44350,44600,43600,45512.72727,6.8,45200,46137.5,3451445300,IT
43500,42500,43800,42500,45055.45455,6.73,44590,46057.5,3448050226,IT
43200,43600,43900,43100,44612.72727,6.69,44160,45940,3442958090,IT
42650,43250,43500,42650,44128.18182,6.6,43650,45762.5,3441528988,IT
43150,43250,43350,43050,43817.27273,6.68,43290,45605,3439417620,IT
43700,44000,44000,43550,43679.09091,6.76,43240,45467.5,3438760843,IT
43000,43500,43500,42950,43457.27273,6.66,43140,45275,3438419775,IT
43700,43900,44250,43500,43427.27273,6.76,43240,45157.5,3435348517,IT
43900,43800,43900,43300,43463.63636,6.79,43490,45047.5,3436379938,IT
43600,44350,44350,43500,43469.09091,6.75,43580,44887.5,3436000880,IT
44450,43950,44600,43550,43653.63636,6.88,43730,44750,3433651503,IT
44500,44350,44800,44150,43838.18182,6.89,44030,44610,3433402846,IT
44050,44500,44700,43850,43922.72727,6.82,44100,44492.5,3432663035,IT
43950,43800,44200,43650,43973.63636,6.8,44110,44330,3432518304,IT
43600,43050,43800,42950,43937.27273,6.75,44110,44152.5,3432186660,IT
44050,43650,44200,43600,43974.54545,6.82,44030,44050,3432179498,IT
44150,44100,44400,43750,44023.63636,6.83,43960,43930,3430931255,IT
43400,44200,44200,43050,43915.45455,6.72,43830,43832.5,3431073303,IT
44000,43750,44300,43750,43921.81818,6.81,43840,43772.5,3428751208,IT
43800,44850,44850,43650,43890,6.78,43880,43715,3426651811,IT
43250,43550,43650,43100,43754.54545,6.69,43720,43680,3426723282,IT
44100,43250,44100,43150,43795.45455,6.83,43710,43710,3422269559,IT
45700,44800,46100,44450,44134.54545,7.07,44170,43835,3418938567,IT
46300,46500,46500,45850,44552.72727,7.17,44630,44017.5,3420701695,IT
46900,46450,47000,46300,45037.27273,7.26,45250,44205,3422245966,IT
47000,47100,47200,46550,45480,7.27,46000,44370,3424831166,IT
47150,47300,47400,46800,45896.36364,7.3,46610,44577.5,3426066934,IT
47100,47000,47100,46400,46249.09091,7.29,46890,44747.5,3425302880,IT
46900,47000,47100,46800,46498.18182,7.26,47010,44897.5,3423978972,IT
47700,46900,47700,46800,46840,7.38,47170,45102.5,3424378628,IT
49150,48050,49200,47850,47374.54545,7.61,47600,45337.5,3426615181,IT
49200,49400,49600,49100,47810.90909,7.61,48010,45572.5,3431557943,IT
49300,49250,49300,49000,48172.72727,7.63,48450,45835,3432040138,IT
49500,49050,49650,48850,48505.45455,7.66,48970,46112.5,3432821185,IT
48900,49200,49350,48800,48670.90909,7.57,49210,46377.5,3430976653,IT
49200,49000,49250,48900,48854.54545,7.61,49220,46635,3430140389,IT
48400,48000,48700,48000,48852.72727,7.49,49060,46847.5,3428244132,IT
49050,48050,49250,47900,48946.36364,7.59,49010,47130,3427169304,IT
48850,48900,49100,48650,48968.18182,7.56,48880,47372.5,3427577576,IT
47600,48350,48400,47600,48727.27273,7.37,48620,47562.5,3426076371,IT
48000,47400,48650,47350,48560.90909,7.43,48380,47800,3428008622,IT
47750,48350,48700,47650,48370,7.39,48250,47982.5,3427851154,IT
48900,47900,49000,47600,48414.54545,7.57,48220,48142.5,3427197813,IT
48550,48200,49200,48000,48402.72727,7.51,48160,48255,3426146152,IT
49150,49000,49450,48800,48517.27273,7.61,48470,48367.5,3427332848,IT
50000,50000,50300,49850,48781.81818,7.74,48870,48517.5,3429097012,IT
50100,49900,50200,49900,49050,7.75,49340,48665,3430066824,IT
50700,50700,50900,50400,49396.36364,7.85,49700,48845,3430036288,IT
50500,50500,50600,50100,49676.36364,7.82,50090,49025,3430946012,IT
49900,50300,50900,49650,49817.27273,7.72,50240,49135,3431931866,IT
50300,49900,50400,49800,49989.09091,7.79,50300,49192.5,3431896276,IT
51200,50800,51500,50700,50282.72727,7.92,50520,49292.5,3430157953,IT
51200,51300,51500,50800,50513.63636,7.92,50620,49387.5,3432074394,IT
50700,52500,52500,50500,50611.81818,7.85,50660,49447.5,3433437950,IT
50900,50800,51200,50500,50707.27273,7.88,50860,49547.5,3432503445,IT
51300,50700,51500,50700,50843.63636,7.94,51060,49652.5,3431800739,IT
51100,51400,51700,50800,50920,7.91,51040,49787.5,3434077102,IT
50400,50700,50800,50200,50850.90909,7.8,50880,49855,3435698020,IT
50400,51000,51400,50300,50787.27273,7.8,50820,49932.5,3436336059,IT
51200,50600,51200,50400,50870.90909,7.92,50880,50112.5,3435924091,IT
52300,51700,52300,51400,51130.90909,8.09,51080,50327.5,3433098125,IT
52700,52400,52700,52100,51427.27273,8.16,51400,50575,3434249287,IT
53300,52900,53500,52700,51805.45455,8.25,51980,50795,3437167252,IT
52900,53400,53400,52400,52072.72727,8.19,52480,51012.5,3441265379,IT
52100,53200,53300,52000,52154.54545,8.06,52660,51160,3440785556,IT
51600,52200,52200,51400,52123.63636,7.99,52520,51240,3438363577,IT
52600,51800,52600,51600,52269.09091,8.14,52500,51365,3437947428,IT
52500,52500,52500,52000,52369.09091,8.13,52340,51455,3437924492,IT
52800,51900,52800,51900,52485.45455,8.17,52320,51570,3438808442,IT
53700,52900,53700,52600,52721.81818,8.31,52640,51760,3436911460,IT
